"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-2021",,,"0","Units",,,0.5295609,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-03","Mar-2021",,,"0","Units",,,0.1350696,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-04","Apr-2021",,,"0","Units",,,0.1955867,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-05","May-2021",,,"0","Units",,,0.2288609,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-06","Jun-2021",,,"0","Units",,,-0.201475,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-07","Jul-2021",,,"0","Units",,,-0.1345879,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-08","Aug-2021",,,"0","Units",,,0.2425846,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-09","Sep-2021",,,"0","Units",,,-0.0470551,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-10","Oct-2021",,,"0","Units",,,-0.2622874,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-11","Nov-2021",,,"0","Units",,,-0.06068699,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-12","Dec-2021",,,"0","Units",,,-0.3508491,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-01","Jan-2022",,,"0","Units",,,0.1151045,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-02","Feb-2022",,,"0","Units",,,-0.4193104,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-03","Mar-2022",,,"0","Units",,,-0.8081941,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-04","Apr-2022",,,"0","Units",,,-0.1027033,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-05","May-2022",,,"0","Units",,,0.1165167,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-06","Jun-2022",,,"0","Units",,,-0.3970649,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-07","Jul-2022",,,"0","Units",,,-0.3230422,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-08","Aug-2022",,,"0","Units",,,0.3999397,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-09","Sep-2022",,,"0","Units",,,-0.3708744,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-10","Oct-2022",,,"0","Units",,,0.4067231,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-11","Nov-2022",,,"0","Units",,,-0.09611961,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-12","Dec-2022",,,"0","Units",,,0.4054652,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-01","Jan-2023",,,"0","Units",,,-0.006844537,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-01","Jan-2020",,,"0","Units",,,0.05055866,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-02","Feb-2020",,,"0","Units",,,-0.1179106,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-03","Mar-2020",,,"0","Units",,,-0.3878779,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-04","Apr-2020",,,"0","Units",,,-1.100445,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-05","May-2020",,,"0","Units",,,0.8730333,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-06","Jun-2020",,,"0","Units",,,0.7636566,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-07","Jul-2020",,,"0","Units",,,0.2863061,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-08","Aug-2020",,,"0","Units",,,-0.4534232,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",,,"0","Units",,,-0.1855694,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",,,"0","Units",,,-0.219717,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",,,"0","Units",,,0.4234631,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",,,"0","Units",,,0.0674684,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-2021",,,"0","Units",,,0.5899504,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-2021",,,"0","Units",,,0.03351373,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-03","Mar-2021",,,"0","Units",,,-0.3852789,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-04","Apr-2021",,,"0","Units",,,1.093043,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-05","May-2021",,,"0","Units",,,0,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-06","Jun-2021",,,"0","Units",,,0.2162449,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-07","Jul-2021",,,"0","Units",,,-0.08299159,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-08","Aug-2021",,,"0","Units",,,-0.06644855,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-09","Sep-2021",,,"0","Units",,,0.2825938,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-10","Oct-2021",,,"0","Units",,,-0.5304423,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-11","Nov-2021",,,"0","Units",,,-0.2999649,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-12","Dec-2021",,,"0","Units",,,-0.5515903,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-01","Jan-2022",,,"0","Units",,,0.1848832,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-02","Feb-2022",,,"0","Units",,,0.2180952,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-03","Mar-2022",,,"0","Units",,,-1.674004,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-04","Apr-2022",,,"0","Units",,,-0.3064507,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-05","May-2022",,,"0","Units",,,0.03415474,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-06","Jun-2022",,,"0","Units",,,-0.3243593,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-07","Jul-2022",,,"0","Units",,,-0.2397793,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-08","Aug-2022",,,"0","Units",,,0.05150479,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-09","Sep-2022",,,"0","Units",,,-0.6520581,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-10","Oct-2022",,,"0","Units",,,0.2245366,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-11","Nov-2022",,,"0","Units",,,0.1378668,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2022-12","Dec-2022",,,"0","Units",,,-0.1720963,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-01","Jan-2023",,,"0","Units",,,0.879204,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-02","Feb-2023",,,"0","Units",,,0.1025343,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-03","Mar-2023",,,"0","Units",,,0.1024293,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-04","Apr-2023",,,"0","Units",,,0.5116222,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-05","May-2023",,,"0","Units",,,-0.1527054,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-06","Jun-2023",,,"0","Units",,,0.06797285,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-07","Jul-2023",,,"0","Units",,,-0.01698167,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-08","Aug-2023",,,"0","Units",,,0.1188919,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-09","Sep-2023",,,"0","Units",,,-0.610718,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-10","Oct-2023",,,"0","Units",,,-0.1024118,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2023-11","Nov-2023",,,"0","Units",,,0.05125838,,
